Name,Algorithm,Time Elapsed,Inertia,Adjusted Rand Index,Mutual Information Score,V-Measure,Folkes-Mallows Score
a1,K-Means,0.2,12146257522,0.999294044,2.993526404,0.999330943,0.999329133
a1,Bisecting K-Means (largest split),0.6,12146338011,1,2.995512851,1,1
a1,Bisecting K-Means (worst split),0.7,12146338011,1,2.995512851,1,1
a2,K-Means,0.7,20286736642,1,3.555202305,1,1
a2,Bisecting K-Means (largest split),1.1,20286851322,1,3.555202305,1,1
a2,Bisecting K-Means (worst split),1.5,20287468265,0.9996054,3.554055527,0.999677793,0.999616605
a3,K-Means,1.7,28938445755,0.998912875,3.909138964,0.999292807,0.998934481
a3,Bisecting K-Means (largest split),1.5,28938336897,0.999726166,3.911102431,0.999795068,0.999731608
a3,Bisecting K-Means (worst split),1.7,30876046538,0.970759102,3.872373588,0.991397769,0.97140951
a1,K-Means Random Seed,0.3,17890730576,0.860126262,2.805001183,0.946333982,0.869164208
a1,Bisecting K-Means Random Seed (largest split),0.6,12146425886,0.999294044,2.993526404,0.999330943,0.999329133
a1,Bisecting K-Means Random Seed (worst split),0.6,12146338011,1,2.995512851,1,1
a2,K-Means Random Seed,0.8,26374872223,0.915584367,3.437365028,0.971424334,0.91858497
a2,Bisecting K-Means Random Seed (largest split),1.0,20286851322,1,3.555202305,1,1
a2,Bisecting K-Means Random Seed (worst split),1.1,20286851322,1,3.555202305,1,1
a3,K-Means Random Seed,1.8,36327587783,0.909695083,3.783409682,0.97124178,0.912003743
a3,Bisecting K-Means Random Seed (largest split),1.5,28938336897,0.999726166,3.911102431,0.999795068,0.999731608
a3,Bisecting K-Means Random Seed (worst split),1.8,30871436679,0.970592412,3.872280844,0.991339977,0.971244133
