Name,Algorithm,Time Elapsed,Inertia,Adjusted Rand Index,Mutual Information Score,V-Measure,Folkes-Mallows Score
dim032,K-Means,0.158991,232535.109375,1.0,2.7725887222397816,1.0,1.0
dim032,Bisecting K-Means (largest split),0.267213,232535.109375,1.0,2.7725887222397816,1.0,1.0
dim032,Bisecting K-Means (worst split),0.332013,232535.109375,1.0,2.7725887222397816,1.0,1.0
dim064,K-Means,0.214996,216993.53125,1.0,2.7725887222397816,1.0,1.0
dim064,Bisecting K-Means (largest split),0.350357,216993.53125,1.0,2.7725887222397816,1.0,1.0
dim064,Bisecting K-Means (worst split),0.409012,216993.53125,1.0,2.7725887222397816,1.0,1.0
dim128,K-Means,0.296997,275237.921875,1.0,2.7725887222397816,1.0,1.0
dim128,Bisecting K-Means (largest split),0.467004,275237.921875,1.0,2.7725887222397816,1.0,1.0
dim128,Bisecting K-Means (worst split),0.526167,275237.921875,1.0,2.7725887222397816,1.0,1.0
dim256,K-Means,0.526008,241189.671875,1.0,2.7725887222397816,1.0,1.0
dim256,Bisecting K-Means (largest split),0.710023,241189.671875,1.0,2.7725887222397816,1.0,1.0
dim256,Bisecting K-Means (worst split),0.829978,241189.671875,1.0,2.7725887222397816,1.0,1.0
dim512,K-Means,0.943994,296896.703125,1.0,2.7725887222397816,1.0,1.0
dim512,Bisecting K-Means (largest split),1.247017,296896.703125,1.0,2.7725887222397816,1.0,1.0
dim512,Bisecting K-Means (worst split),1.420980,296896.703125,1.0,2.7725887222397816,1.0,1.0
dim1024,K-Means,1.798002,275493.609375,1.0,2.7725887222397816,1.0,1.0
dim1024,Bisecting K-Means (largest split),2.521255,275493.609375,1.0,2.7725887222397816,1.0,1.0
dim1024,Bisecting K-Means (worst split),2.586000,275493.609375,1.0,2.7725887222397816,1.0,1.0
