Name,Algorithm,Time Elapsed,Inertia,Adjusted Rand Index,Mutual Information Score,V-Measure,Folkes-Mallows Score
g2-1-10,K-Means,0.051002,200349.7559,1,0.693147181,1,1
g2-1-10,Bisecting K-Means (largest split),0.033002,200349.7559,1,0.693147181,1,1
g2-1-10,Bisecting K-Means (worst split),0.037987,200349.7559,1,0.693147181,1,1
g2-1-20,K-Means,0.044002,765226.7871,1,0.693147181,1,1
g2-1-20,Bisecting K-Means (largest split),0.056006,765226.7871,1,0.693147181,1,1
g2-1-20,Bisecting K-Means (worst split),0.094999,765226.7871,1,0.693147181,1,1
g2-1-30,K-Means,0.111994,1662578.662,1,0.693099496,1,1
g2-1-30,Bisecting K-Means (largest split),0.075003,1662578.662,1,0.693099496,1,1
g2-1-30,Bisecting K-Means (worst split),0.065994,1662578.662,1,0.693099496,1,1
g2-1-40,K-Means,0.048003,2293377.544,0.986368199,0.672420424,0.970474519,0.993184453
g2-1-40,Bisecting K-Means (largest split),0.061006,2293377.544,0.986368199,0.672420424,0.970474519,0.993184453
g2-1-40,Bisecting K-Means (worst split),0.065984,2293377.544,0.986368199,0.672420424,0.970474519,0.993184453
g2-1-50,K-Means,0.069997,3271503.818,1,0.692916374,1,1
g2-1-50,Bisecting K-Means (largest split),0.070001,3271503.818,1,0.692916374,1,1
g2-1-50,Bisecting K-Means (worst split),0.076999,3271503.818,1,0.692916374,1,1
g2-1-60,K-Means,0.107004,4272850.911,1,0.693139551,1,1
g2-1-60,Bisecting K-Means (largest split),0.106997,4272850.911,1,0.693139551,1,1
g2-1-60,Bisecting K-Means (worst split),0.080999,4272850.911,1,0.693139551,1,1
g2-1-70,K-Means,0.067001,5062585.492,1,0.693108556,1,1
g2-1-70,Bisecting K-Means (largest split),0.06602,5062563.223,0.982490572,0.667851684,0.96364056,0.991242707
g2-1-70,Bisecting K-Means (worst split),0.078003,5062563.223,0.982490572,0.667851684,0.96364056,0.991242707
g2-1-80,K-Means,0.070001,6389400.084,0.963216681,0.64522014,0.933112015,0.981661522
g2-1-80,Bisecting K-Means (largest split),0.100996,6389400.084,0.963216681,0.64522014,0.933112015,0.981661522
g2-1-80,Bisecting K-Means (worst split),0.106998,6389400.084,0.963216681,0.64522014,0.933112015,0.981661522
g2-1-90,K-Means,0.301018,8023717.617,0.992198948,0.680361249,0.981557176,0.996097587
g2-1-90,Bisecting K-Means (largest split),0.119,8023717.617,0.992198948,0.680361249,0.981557176,0.996097587
g2-1-90,Bisecting K-Means (worst split),0.091995,8023641.793,1,0.693142889,1,1
g2-1-100,K-Means,0.076002,9508694.953,0.984428371,0.669044133,0.966968242,0.992229897
g2-1-100,Bisecting K-Means (largest split),0.082002,9508991.317,0.967056219,0.649335907,0.93883085,0.983569992
g2-1-100,Bisecting K-Means (worst split),0.085019,9508991.317,0.967056219,0.649335907,0.93883085,0.983569992
g2-2-10,K-Means,0.036998,418803.1689,1,0.693147181,1,1
g2-2-10,Bisecting K-Means (largest split),0.044999,418803.1689,1,0.693147181,1,1
