Name,Algorithm,Time Elapsed,Inertia,Adjusted Rand Index,Mutual Information Score,V-Measure,Folkes-Mallows Score
s1,K-Means,0.2,8.91762E+12,0.999567046,2.705552273,0.999496123,0.999595894
s1,Bisecting K-Means (largest split),0.4,8.91765E+12,1,2.70691118,1,1
s1,Bisecting K-Means (worst split),0.5,8.91765E+12,1,2.70691118,1,1
s2,K-Means,0.4,1.32792E+13,0.99829756,2.702196447,0.998232527,0.998410977
s2,Bisecting K-Means (largest split),0.5,1.32792E+13,0.996511524,2.697814582,0.996616331,0.996743932
s2,Bisecting K-Means (worst split),0.6,1.32792E+13,0.996511524,2.697814582,0.996616331,0.996743932
s3,K-Means,0.4,1.68904E+13,0.993132056,2.68464662,0.992775211,0.993592218
s3,Bisecting K-Means (largest split),0.7,1.68901E+13,0.993649403,2.685429225,0.993109929,0.994075017
s3,Bisecting K-Means (worst split),0.7,1.88411E+13,0.865755398,2.492220926,0.926996315,0.875468414
s1,K-Means Random Seed,0.2,1.33E+13,0.917919721,2.606154718,0.970660075,0.92447879
s1,Bisecting K-Means Random Seed (largest split),0.4,8.92E+12,1,2.70691118,1,1
s1,Bisecting K-Means Random Seed (worst split),0.5,8.92E+12,1,2.70691118,1,1
s2,K-Means Random Seed,0.3,1.33E+13,0.996068251,2.696940842,0.996294718,0.996330192
s2,Bisecting K-Means Random Seed (largest split),0.6,1.33E+13,0.996511524,2.697814582,0.996616331,0.996743932
s2,Bisecting K-Means Random Seed (worst split),0.6,1.33E+13,0.996511524,2.697814582,0.996616331,0.996743932
s3,K-Means Random Seed,0.4,1.88E+13,0.869296562,2.492913859,0.927851536,0.878829793
s3,Bisecting K-Means Random Seed (largest split),0.6,1.69E+13,0.996970887,2.694791428,0.996571305,0.9971739
s3,Bisecting K-Means Random Seed (worst split),0.7,1.88E+13,0.866431805,2.494008236,0.927676289,0.876103326
